ID;age;job;housing;saving_accounts;checking_account;credit_amount;duration;purpose
497;40.0;2;own;little;little;1585;24-month;furniture/equipment
498;32.0;1;own;little;moderate;1301;18-month;radio/TV
499;28.0;2;own;moderate;rich;1323;6-month;car
500;27.0;2;own;little;little;3123;24-month;car
501;42.0;2;free;little;little;5493;36-month;car
502;49.0;2;own;moderate;rich;1126;9-month;radio/TV
503;38.0;2;own;moderate;moderate;1216;24-month;radio/TV
504;24.0;2;rent;little;little;1207;24-month;car
505;27.0;1;own;little;little;1309;10-month;car
506;36.0;2;own;quite rich;rich;2360;15-month;car
507;34.0;3;own;moderate;moderate;6850;15-month;car
508;28.0;2;own;little;little;1413;24-month;radio/TV
509;45.0;3;own;moderate;little;8588;39-month;car
510;26.0;2;own;little;little;759;12-month;car
511;32.0;3;free;little;little;4686;36-month;car
512;26.0;2;rent;little;rich;2687;15-month;business
513;20.0;2;rent;little;moderate;585;12-month;radio/TV
514;54.0;2;own;little;little;2255;24-month;car
515;37.0;2;own;little;little;609;6-month;car
516;40.0;1;own;little;little;1361;6-month;car
517;23.0;2;rent;little;little;7127;36-month;furniture/equipment
518;43.0;2;own;moderate;little;1203;6-month;car
519;36.0;2;free;little;little;700;6-month;radio/TV
520;44.0;2;free;little;little;5507;24-month;repairs
521;24.0;2;own;little;little;3190;18-month;radio/TV
522;;2;free;little;little;7119;48-month;furniture/equipment
523;23.0;2;own;moderate;little;3488;24-month;car
524;26.0;1;own;little;moderate;1113;18-month;radio/TV
525;30.0;2;own;little;moderate;7966;26-month;car
526;31.0;2;own;moderate;little;1532;15-month;education
527;42.0;1;own;little;little;1503;4-month;radio/TV
528;31.0;2;rent;little;little;2302;36-month;radio/TV
529;41.0;1;own;little;little;662;6-month;car
530;32.0;2;own;little;moderate;2273;36-month;education
531;28.0;2;rent;moderate;moderate;2631;15-month;car
532;41.0;2;rent;little;little;1503;12-month;car
533;26.0;2;own;moderate;little;1311;24-month;radio/TV
534;25.0;2;own;little;little;3105;24-month;radio/TV
535;33.0;2;rent;little;rich;2319;21-month;education
536;74.0;3;own;little;little;1374;6-month;car
537;37.0;2;own;little;moderate;3612;18-month;furniture/equipment
538;;3;free;little;little;7763;48-month;car
539;45.0;1;own;little;rich;3049;18-month;furniture/equipment
540;;2;rent;little;moderate;1534;12-month;radio/TV
541;;2;free;little;little;2032;24-month;car
542;31.0;2;own;little;little;6350;30-month;furniture/equipment
543;34.0;1;own;little;rich;2864;18-month;furniture/equipment
544;61.0;1;own;little;little;1255;12-month;car
545;43.0;2;free;little;little;1333;24-month;car
546;37.0;2;own;little;little;2022;24-month;car
547;32.0;2;own;little;little;1552;24-month;radio/TV
548;24.0;1;own;little;little;626;12-month;radio/TV
549;35.0;2;free;little;little;8858;48-month;car
550;23.0;2;own;little;little;996;12-month;repairs
551;45.0;1;own;quite rich;little;1750;6-month;radio/TV
552;34.0;2;own;little;little;6999;48-month;radio/TV
553;27.0;2;own;moderate;moderate;1995;12-month;car
554;67.0;3;own;little;moderate;1199;9-month;education
555;;2;own;little;moderate;1331;12-month;radio/TV
556;28.0;2;own;moderate;moderate;2278;18-month;car
557;29.0;2;own;little;little;5003;21-month;car
558;27.0;2;own;little;little;3552;24-month;furniture/equipment
559;31.0;1;own;little;moderate;1928;18-month;furniture/equipment
560;49.0;2;free;little;little;2964;24-month;car
561;24.0;1;rent;little;little;1546;24-month;radio/TV
562;29.0;2;own;little;rich;683;6-month;radio/TV
563;37.0;2;free;little;moderate;12389;36-month;car
564;37.0;3;own;little;moderate;4712;24-month;business
565;23.0;2;rent;moderate;moderate;1553;24-month;radio/TV
566;36.0;2;own;little;little;1372;12-month;car
567;34.0;2;own;rich;little;2578;24-month;radio/TV
568;41.0;2;own;little;moderate;3979;48-month;radio/TV
569;;2;own;little;little;6758;48-month;radio/TV
570;23.0;1;rent;little;little;3234;24-month;furniture/equipment
571;38.0;2;own;little;little;5954;30-month;radio/TV
572;26.0;3;rent;little;little;5433;24-month;car
573;22.0;1;own;little;little;806;15-month;business
574;27.0;1;own;little;moderate;1082;9-month;radio/TV
575;24.0;2;own;little;little;2788;15-month;furniture/equipment
576;27.0;2;own;little;moderate;2930;12-month;radio/TV
577;33.0;2;own;little;little;1927;24-month;education
578;27.0;2;own;little;moderate;2820;36-month;car
579;;1;own;little;little;937;24-month;education
580;;2;own;little;moderate;1056;18-month;car
581;49.0;1;own;little;moderate;3124;12-month;car
582;;2;rent;little;little;1388;9-month;furniture/equipment
583;33.0;1;rent;little;moderate;2384;36-month;repairs
584;52.0;3;free;little;little;2133;12-month;car
585;;2;rent;little;little;2039;18-month;furniture/equipment
586;36.0;2;rent;little;little;2799;9-month;car
587;21.0;1;own;little;little;1289;12-month;furniture/equipment
588;47.0;1;own;little;little;1217;18-month;domestic appliances
589;60.0;2;own;little;little;2246;12-month;furniture/equipment
590;58.0;1;own;little;little;385;12-month;radio/TV
591;;2;rent;little;moderate;1965;24-month;car
592;36.0;1;own;rich;little;1572;21-month;business
593;20.0;1;rent;little;moderate;2718;24-month;car
594;40.0;3;;little;little;1358;24-month;vacation/others
595;32.0;1;own;moderate;moderate;931;6-month;car
596;23.0;2;rent;little;little;1442;24-month;car
597;36.0;1;own;little;moderate;4241;24-month;business
598;31.0;2;own;little;little;2775;18-month;car
599;32.0;2;free;little;little;3863;24-month;business
600;45.0;2;own;little;moderate;2329;7-month;radio/TV
601;30.0;2;own;little;moderate;918;9-month;furniture/equipment
602;34.0;1;free;little;moderate;1837;24-month;education
603;28.0;3;own;little;little;3349;36-month;furniture/equipment
604;23.0;2;own;little;rich;1275;10-month;furniture/equipment
605;22.0;2;own;quite rich;little;2828;24-month;furniture/equipment
606;74.0;3;own;little;little;4526;24-month;business
607;50.0;2;free;moderate;moderate;2671;36-month;radio/TV
608;33.0;2;own;little;little;2051;18-month;radio/TV
609;45.0;2;free;little;little;1300;15-month;car
610;22.0;2;own;moderate;little;741;12-month;domestic appliances
611;48.0;1;free;moderate;rich;1240;10-month;car
612;29.0;2;own;rich;little;3357;21-month;radio/TV
613;22.0;2;rent;little;little;3632;24-month;car
614;22.0;2;own;little;little;1808;18-month;furniture/equipment
615;48.0;3;own;little;moderate;12204;48-month;business
616;27.0;3;free;little;moderate;9157;60-month;radio/TV
617;37.0;2;rent;little;little;3676;6-month;car
618;21.0;2;;moderate;moderate;3441;30-month;furniture/equipment
619;49.0;1;own;little;little;640;12-month;car
620;27.0;2;own;little;moderate;3652;21-month;business
621;32.0;2;own;little;little;1530;18-month;car
622;38.0;2;own;little;little;3914;48-month;business
623;22.0;2;rent;little;little;1858;12-month;furniture/equipment
624;;2;free;little;little;2600;18-month;radio/TV
625;35.0;2;own;little;little;1979;15-month;radio/TV
626;41.0;2;own;little;rich;2116;6-month;furniture/equipment
627;29.0;2;own;moderate;moderate;1437;9-month;car
628;36.0;2;own;quite rich;little;4042;42-month;furniture/equipment
629;64.0;1;own;little;little;3832;9-month;education
630;28.0;2;own;little;little;3660;24-month;radio/TV
631;44.0;2;own;little;little;1553;18-month;furniture/equipment
632;23.0;2;own;little;moderate;1444;15-month;radio/TV
633;21.0;2;rent;little;little;1980;9-month;furniture/equipment
634;25.0;1;own;little;moderate;1355;24-month;car
635;47.0;2;own;little;little;1393;12-month;education
636;28.0;2;own;quite rich;little;1376;24-month;radio/TV
637;21.0;2;own;little;little;15653;60-month;radio/TV
638;34.0;2;own;little;little;1493;12-month;radio/TV
639;26.0;2;own;little;little;4370;42-month;radio/TV
640;27.0;0;own;little;little;750;18-month;education
641;38.0;1;own;little;moderate;1308;15-month;repairs
642;40.0;3;own;moderate;little;4623;15-month;education
643;33.0;2;own;little;little;1851;24-month;radio/TV
644;;3;;little;little;1880;18-month;radio/TV
645;27.0;2;rent;little;little;7980;36-month;business
646;32.0;2;own;little;little;4583;30-month;furniture/equipment
647;26.0;2;own;quite rich;little;1386;12-month;car
648;38.0;2;free;little;rich;947;24-month;car
649;40.0;1;rent;little;little;684;12-month;education
650;50.0;3;free;little;little;7476;48-month;education
651;37.0;1;own;little;moderate;1922;12-month;furniture/equipment
652;45.0;2;own;little;little;2303;24-month;car
653;42.0;3;own;moderate;moderate;8086;36-month;car
654;35.0;2;own;little;little;2346;24-month;car
655;22.0;2;free;little;little;3973;14-month;car
656;41.0;1;own;little;moderate;888;12-month;car
657;37.0;2;own;little;little;10222;48-month;radio/TV
658;28.0;2;own;little;moderate;4221;30-month;business
659;41.0;2;own;little;moderate;6361;18-month;furniture/equipment
660;23.0;2;rent;little;rich;1297;12-month;radio/TV
661;23.0;2;own;little;little;900;12-month;car
662;50.0;2;own;little;little;2241;21-month;furniture/equipment
663;35.0;3;own;little;moderate;1050;6-month;furniture/equipment
664;50.0;1;own;little;rich;1047;6-month;education
665;27.0;3;own;little;little;6314;24-month;vacation/others
666;34.0;2;own;rich;moderate;3496;30-month;furniture/equipment
667;27.0;2;own;little;little;3609;48-month;business
668;43.0;2;rent;little;little;4843;12-month;car
669;47.0;2;own;little;rich;3017;30-month;radio/TV
670;27.0;1;own;moderate;little;4139;24-month;business
671;31.0;2;own;moderate;little;5742;36-month;business
672;42.0;3;own;little;little;10366;60-month;car
673;24.0;2;own;quite rich;little;2080;6-month;car
674;41.0;1;own;quite rich;little;2580;21-month;business
675;26.0;3;rent;little;little;4530;30-month;radio/TV
676;33.0;2;own;little;little;5150;24-month;furniture/equipment
677;24.0;2;;moderate;moderate;5595;72-month;radio/TV
678;64.0;1;rent;little;little;2384;24-month;radio/TV
679;;2;own;little;little;1453;18-month;radio/TV
680;56.0;2;own;little;little;1538;6-month;education
681;37.0;2;free;little;little;2279;12-month;radio/TV
682;33.0;2;own;little;little;1478;15-month;radio/TV
683;47.0;2;free;little;little;5103;24-month;radio/TV
684;;1;own;moderate;moderate;9857;36-month;business
685;34.0;2;free;little;little;6527;60-month;car
686;27.0;2;own;little;rich;1347;10-month;radio/TV
687;30.0;2;free;moderate;moderate;2862;36-month;car
688;35.0;2;own;moderate;little;2753;9-month;radio/TV
689;31.0;2;own;rich;little;3651;12-month;car
690;25.0;2;own;little;little;975;15-month;furniture/equipment
691;25.0;1;own;moderate;moderate;2631;15-month;repairs
692;29.0;2;own;moderate;moderate;2896;24-month;radio/TV
693;44.0;1;own;little;little;4716;6-month;car
694;28.0;2;own;little;little;2284;24-month;radio/TV
695;50.0;2;rent;quite rich;little;1236;6-month;car
696;29.0;2;own;little;moderate;1103;12-month;radio/TV
697;38.0;0;;little;little;926;12-month;car
698;24.0;2;own;little;little;1800;18-month;radio/TV
699;40.0;3;rent;little;rich;1905;15-month;education
700;29.0;1;rent;quite rich;little;1123;12-month;furniture/equipment
701;46.0;2;free;little;little;6331;48-month;car
702;47.0;2;free;moderate;rich;1377;24-month;radio/TV
703;41.0;2;own;moderate;moderate;2503;30-month;business
704;32.0;2;own;little;moderate;2528;27-month;business
705;35.0;2;free;quite rich;little;5324;15-month;car
706;24.0;2;own;moderate;moderate;6560;48-month;car
707;25.0;2;;little;moderate;2969;12-month;furniture/equipment
708;25.0;2;;little;moderate;1206;9-month;radio/TV
709;37.0;1;own;little;moderate;2118;9-month;radio/TV
710;32.0;3;own;quite rich;little;629;18-month;radio/TV
711;;2;free;little;little;1198;6-month;education
712;46.0;3;own;little;little;2476;21-month;car
713;25.0;1;own;little;little;1138;9-month;radio/TV
714;27.0;3;own;little;moderate;14027;60-month;car
715;63.0;2;own;little;little;7596;30-month;car
716;40.0;2;own;little;little;3077;30-month;radio/TV
717;32.0;3;free;little;little;1505;18-month;radio/TV
718;31.0;2;own;little;rich;3148;24-month;radio/TV
719;31.0;2;own;moderate;moderate;6148;20-month;car
720;34.0;3;own;little;rich;1337;9-month;radio/TV
721;24.0;2;rent;rich;moderate;433;6-month;education
722;24.0;1;own;little;little;1228;12-month;car
723;;1;own;quite rich;moderate;790;9-month;radio/TV
724;21.0;2;rent;little;little;2570;27-month;car
725;41.0;1;own;rich;little;250;6-month;car
726;47.0;1;own;quite rich;little;1316;15-month;radio/TV
727;25.0;2;rent;little;little;1882;18-month;radio/TV
728;59.0;2;rent;little;moderate;6416;48-month;business
729;36.0;2;own;rich;rich;1275;24-month;business
730;33.0;2;own;little;moderate;6403;24-month;radio/TV
731;21.0;1;rent;little;little;1987;24-month;radio/TV
732;44.0;1;own;little;moderate;760;8-month;radio/TV
733;28.0;2;rent;rich;little;2603;24-month;car
734;37.0;2;own;little;little;3380;4-month;car
735;29.0;0;own;little;moderate;3990;36-month;domestic appliances
736;23.0;3;rent;little;moderate;11560;24-month;car
737;35.0;1;own;moderate;little;4380;18-month;car
738;45.0;3;own;little;little;6761;6-month;car
739;26.0;1;rent;moderate;moderate;4280;30-month;business
740;32.0;2;own;moderate;little;2325;24-month;car
741;23.0;1;own;little;moderate;1048;10-month;radio/TV
742;41.0;2;own;little;little;3160;21-month;radio/TV
743;22.0;2;own;quite rich;little;2483;24-month;furniture/equipment
744;30.0;3;own;little;little;14179;39-month;furniture/equipment
745;;1;own;little;little;1797;13-month;business
746;23.0;2;rent;little;little;2511;15-month;car
747;37.0;1;own;little;little;1274;12-month;car
748;26.0;2;own;little;little;5248;21-month;car
749;;2;own;little;little;3029;15-month;car
750;49.0;2;own;little;little;428;6-month;furniture/equipment
751;23.0;1;own;little;little;976;18-month;car
752;23.0;1;rent;moderate;moderate;841;12-month;business
753;25.0;2;own;little;little;5771;30-month;radio/TV
754;55.0;2;free;rich;little;1555;12-month;repairs
755;32.0;2;rent;little;little;1285;24-month;car
756;74.0;0;own;little;rich;1299;6-month;car
757;39.0;2;free;little;rich;1271;15-month;radio/TV
758;31.0;2;own;little;little;1393;24-month;car
759;;2;own;little;little;691;12-month;car
760;59.0;2;own;little;little;5045;15-month;car
761;24.0;2;rent;little;little;2124;18-month;furniture/equipment
762;24.0;1;own;little;little;2214;12-month;radio/TV
763;;3;free;little;little;12680;21-month;car
764;27.0;2;own;moderate;little;2463;24-month;car
765;40.0;1;own;little;moderate;1155;12-month;radio/TV
766;31.0;1;own;little;little;3108;30-month;furniture/equipment
767;31.0;2;rent;little;little;2901;10-month;car
768;28.0;2;rent;little;moderate;3617;12-month;furniture/equipment
769;63.0;1;own;little;little;1655;12-month;radio/TV
770;26.0;2;rent;little;little;2812;24-month;car
771;25.0;3;own;little;little;8065;36-month;education
772;36.0;3;own;little;little;3275;21-month;car
773;52.0;2;own;moderate;little;2223;24-month;radio/TV
774;66.0;0;free;quite rich;rich;1480;12-month;car
775;25.0;2;rent;little;little;1371;24-month;car
776;37.0;2;own;little;little;3535;36-month;car
777;25.0;2;own;little;little;3509;18-month;radio/TV
778;38.0;3;own;rich;little;5711;36-month;car
779;67.0;2;own;little;moderate;3872;18-month;repairs
780;25.0;2;own;little;moderate;4933;39-month;radio/TV
781;60.0;2;own;rich;little;1940;24-month;car
782;;1;own;little;moderate;1410;12-month;education
783;23.0;1;own;moderate;moderate;836;12-month;car
784;60.0;3;own;little;moderate;6468;20-month;car
785;35.0;1;own;rich;moderate;1941;18-month;business
786;40.0;2;own;quite rich;little;2675;22-month;radio/TV
787;38.0;2;own;little;little;2751;48-month;car
788;50.0;2;free;little;moderate;6224;48-month;education
789;27.0;2;own;little;little;5998;40-month;education
790;39.0;2;own;little;moderate;1188;21-month;business
791;41.0;3;own;little;little;6313;24-month;car
792;27.0;2;own;little;little;1221;6-month;furniture/equipment
793;51.0;2;free;little;rich;2892;24-month;furniture/equipment
794;32.0;2;rent;quite rich;little;3062;24-month;furniture/equipment
795;22.0;2;rent;moderate;little;2301;9-month;furniture/equipment
796;51.0;2;free;little;little;7511;18-month;car
797;22.0;1;;little;little;1258;12-month;furniture/equipment
798;54.0;2;own;little;little;717;24-month;car
799;35.0;0;own;little;moderate;1549;9-month;car
800;54.0;2;free;little;little;1597;24-month;education
801;48.0;1;rent;little;moderate;1795;18-month;radio/TV
802;24.0;2;own;little;little;4272;20-month;furniture/equipment
803;35.0;2;own;little;little;976;12-month;radio/TV
804;24.0;0;rent;little;moderate;7472;12-month;car
805;24.0;2;own;little;little;9271;36-month;car
806;26.0;1;own;little;moderate;590;6-month;radio/TV
807;65.0;2;own;little;little;930;12-month;radio/TV
808;55.0;3;free;little;moderate;9283;42-month;car
809;26.0;0;rent;little;moderate;1778;15-month;car
810;26.0;2;own;little;moderate;907;8-month;business
811;28.0;1;own;little;moderate;484;6-month;radio/TV
812;;2;own;little;little;9629;36-month;car
813;54.0;2;own;little;little;3051;48-month;domestic appliances
814;46.0;2;free;little;little;3931;48-month;car
815;54.0;2;rent;little;moderate;7432;36-month;car
816;;2;own;quite rich;little;1338;6-month;domestic appliances
817;24.0;2;rent;little;little;1554;6-month;radio/TV
818;43.0;3;own;little;little;15857;36-month;vacation/others
819;26.0;2;own;little;little;1345;18-month;radio/TV
820;27.0;2;own;little;little;1101;12-month;car
821;24.0;2;own;little;rich;3016;12-month;radio/TV
822;41.0;2;own;little;little;2712;36-month;furniture/equipment
823;47.0;1;own;little;little;731;8-month;car
824;35.0;3;own;little;little;3780;18-month;furniture/equipment
825;30.0;2;own;little;little;1602;21-month;car
826;33.0;2;;little;little;3966;18-month;car
827;36.0;2;own;little;little;4165;18-month;business
828;47.0;2;free;little;little;8335;36-month;car
829;38.0;2;;little;moderate;6681;48-month;business
830;44.0;2;own;quite rich;little;2375;24-month;business
831;;2;rent;little;little;1216;18-month;car
832;29.0;2;rent;little;little;11816;45-month;business
833;42.0;2;own;little;moderate;5084;24-month;radio/TV
834;25.0;1;own;little;rich;2327;15-month;radio/TV
835;;2;own;little;little;1082;12-month;car
836;21.0;2;own;little;little;886;12-month;radio/TV
837;23.0;1;rent;little;little;601;4-month;furniture/equipment
838;63.0;2;own;little;little;2957;24-month;car
839;46.0;2;;little;little;2611;24-month;radio/TV
840;29.0;2;;little;little;5179;36-month;furniture/equipment
841;28.0;1;own;little;little;2993;21-month;car
842;23.0;2;own;little;little;1943;18-month;repairs
843;50.0;2;own;little;little;1559;24-month;business
844;47.0;2;own;little;little;3422;18-month;furniture/equipment
845;35.0;2;own;little;moderate;3976;21-month;furniture/equipment
846;68.0;2;rent;little;little;6761;18-month;car
847;28.0;2;own;little;little;1249;24-month;car
848;59.0;2;own;little;little;1364;9-month;radio/TV
849;57.0;1;own;little;little;709;12-month;radio/TV
850;33.0;2;rent;little;little;2235;20-month;car
851;43.0;2;own;little;little;4042;24-month;car
852;35.0;2;free;little;little;1471;15-month;radio/TV
853;32.0;1;free;little;little;1442;18-month;car
854;;2;own;little;little;10875;36-month;car
855;;2;own;moderate;little;1474;24-month;car
856;40.0;2;own;little;little;894;10-month;education
857;28.0;2;free;little;little;3343;15-month;furniture/equipment
858;29.0;2;own;little;little;3959;15-month;car
859;26.0;2;rent;moderate;little;3577;9-month;car
860;27.0;2;own;rich;little;5804;24-month;car
861;28.0;2;own;little;little;2169;18-month;business
862;35.0;2;own;little;little;2439;24-month;radio/TV
863;32.0;1;own;rich;little;4526;27-month;furniture/equipment
864;25.0;1;rent;little;little;2210;10-month;furniture/equipment
865;;2;rent;quite rich;little;2221;15-month;furniture/equipment
866;;2;own;little;little;2389;18-month;radio/TV
867;42.0;2;own;little;little;3331;12-month;furniture/equipment
868;37.0;2;own;little;little;7409;36-month;business
869;24.0;2;rent;little;little;652;12-month;furniture/equipment
870;40.0;2;own;quite rich;little;7678;36-month;furniture/equipment
871;46.0;2;own;little;rich;1343;6-month;car
872;26.0;2;own;moderate;little;1382;24-month;business
873;24.0;2;own;little;little;874;15-month;domestic appliances
874;29.0;1;own;little;little;3590;12-month;furniture/equipment
875;40.0;2;own;rich;moderate;1322;11-month;car
876;36.0;3;free;little;little;1940;18-month;radio/TV
877;28.0;2;;little;little;3595;36-month;radio/TV
878;27.0;3;free;little;little;1422;9-month;car
879;36.0;2;own;little;little;6742;30-month;radio/TV
880;38.0;3;;little;little;7814;24-month;car
881;48.0;2;;little;little;9277;24-month;car
882;36.0;2;own;little;moderate;2181;30-month;car
883;;0;own;little;little;1098;18-month;radio/TV
884;43.0;2;own;little;moderate;4057;24-month;furniture/equipment
885;;2;own;little;little;795;12-month;education
886;34.0;2;own;little;moderate;2825;24-month;business
887;23.0;2;own;little;moderate;15672;48-month;business
888;34.0;3;own;little;little;6614;36-month;car
889;40.0;2;rent;little;little;7824;28-month;car
890;43.0;3;own;little;little;2442;27-month;business
891;46.0;2;own;little;little;1829;15-month;radio/TV
892;38.0;1;own;little;little;2171;12-month;car
893;34.0;2;own;little;moderate;5800;36-month;car
894;29.0;2;own;little;little;1169;18-month;radio/TV
895;31.0;3;own;little;little;8947;36-month;car
896;28.0;3;rent;little;little;2606;21-month;radio/TV
897;35.0;2;own;rich;little;1592;12-month;furniture/equipment
898;33.0;1;rent;little;little;2186;15-month;furniture/equipment
899;42.0;2;own;little;little;4153;18-month;furniture/equipment
900;43.0;2;rent;little;little;2625;16-month;car
901;;2;own;little;little;3485;20-month;car
902;;2;free;little;little;10477;36-month;car
903;40.0;2;rent;little;little;1386;15-month;radio/TV
904;;3;own;little;little;1278;24-month;radio/TV
905;20.0;3;rent;little;little;1107;12-month;radio/TV
906;24.0;1;own;little;little;3763;21-month;car
907;27.0;2;own;little;moderate;3711;36-month;education
908;46.0;1;own;little;little;3594;15-month;car
909;33.0;1;own;little;moderate;3195;9-month;car
910;;2;own;little;little;4454;36-month;radio/TV
911;25.0;1;own;little;moderate;4736;24-month;furniture/equipment
912;25.0;2;own;little;moderate;2991;30-month;radio/TV
913;28.0;2;own;rich;little;2142;11-month;business
914;31.0;2;rent;little;little;3161;24-month;business
915;32.0;3;own;little;moderate;18424;48-month;vacation/others
916;32.0;2;own;moderate;little;2848;10-month;car
917;68.0;3;own;little;little;14896;6-month;car
918;33.0;2;own;moderate;little;2359;24-month;furniture/equipment
919;39.0;3;rent;little;little;3345;24-month;furniture/equipment
920;28.0;2;own;little;little;1817;18-month;furniture/equipment
921;37.0;3;own;quite rich;little;12749;48-month;radio/TV
922;22.0;2;rent;little;little;1366;9-month;radio/TV
923;30.0;2;rent;little;moderate;2002;12-month;car
924;55.0;2;own;little;little;6872;24-month;furniture/equipment
925;46.0;2;own;little;little;697;12-month;car
926;21.0;2;rent;little;little;1049;18-month;furniture/equipment
927;39.0;2;free;little;little;10297;48-month;car
928;58.0;2;own;little;little;1867;30-month;radio/TV
929;43.0;1;own;little;little;1344;12-month;car
930;24.0;1;own;little;little;1747;24-month;furniture/equipment
931;22.0;2;;little;moderate;1670;9-month;radio/TV
932;;2;own;little;little;1224;9-month;car
933;42.0;2;own;quite rich;little;522;12-month;radio/TV
934;23.0;2;own;little;little;1498;12-month;radio/TV
935;30.0;3;own;moderate;moderate;1919;30-month;radio/TV
936;28.0;1;own;little;rich;745;9-month;radio/TV
937;30.0;3;rent;little;moderate;2063;6-month;radio/TV
938;42.0;2;free;little;moderate;6288;60-month;education
939;;3;own;little;little;6842;24-month;car
940;;3;own;little;little;3527;12-month;car
941;31.0;1;own;little;little;1546;10-month;car
942;31.0;2;own;little;little;929;24-month;furniture/equipment
943;42.0;1;own;little;little;1455;4-month;car
944;46.0;2;rent;little;little;1845;15-month;furniture/equipment
945;30.0;2;own;quite rich;moderate;8358;48-month;car
946;30.0;2;free;quite rich;little;3349;24-month;furniture/equipment
947;38.0;3;own;little;little;2859;12-month;car
948;43.0;1;own;little;little;1533;18-month;furniture/equipment
949;31.0;2;own;moderate;little;3621;24-month;radio/TV
950;40.0;0;own;little;moderate;3590;18-month;business
951;24.0;2;own;little;little;2145;36-month;business
952;28.0;2;rent;quite rich;moderate;4113;24-month;car
953;26.0;3;own;little;little;10974;36-month;furniture/equipment
954;29.0;2;own;little;little;1893;12-month;car
955;57.0;3;rent;rich;little;1231;24-month;radio/TV
956;49.0;1;own;little;rich;3656;30-month;radio/TV
957;37.0;1;own;little;moderate;1154;9-month;radio/TV
958;45.0;1;own;little;little;4006;28-month;car
959;30.0;2;free;moderate;moderate;3069;24-month;furniture/equipment
960;;2;;little;little;1740;6-month;radio/TV
961;47.0;2;own;little;moderate;2353;21-month;car
962;29.0;2;own;little;little;3556;15-month;car
963;35.0;2;;quite rich;little;2397;24-month;radio/TV
964;22.0;1;own;little;moderate;454;6-month;repairs
965;26.0;2;own;little;moderate;1715;30-month;radio/TV
966;23.0;1;own;quite rich;moderate;2520;27-month;radio/TV
967;;3;rent;little;little;3568;15-month;radio/TV
968;29.0;2;rent;little;little;7166;42-month;radio/TV
969;;1;own;little;little;3939;11-month;car
970;22.0;2;own;moderate;moderate;1514;15-month;repairs
971;43.0;1;own;little;little;7393;24-month;car
972;29.0;0;rent;little;little;1193;24-month;car
973;36.0;2;rent;little;little;7297;60-month;business
974;33.0;2;own;little;little;2831;30-month;radio/TV
975;57.0;1;own;quite rich;rich;1258;24-month;radio/TV
976;64.0;2;own;little;moderate;753;6-month;radio/TV
977;42.0;2;own;little;moderate;2427;18-month;business
978;47.0;1;own;little;little;2538;24-month;car
979;25.0;2;rent;moderate;moderate;1264;15-month;car
980;49.0;2;own;little;moderate;8386;30-month;furniture/equipment
981;33.0;3;rent;little;little;4844;48-month;business
982;;3;own;moderate;rich;2923;21-month;car
983;26.0;2;own;little;little;8229;36-month;car
984;30.0;1;own;little;little;2028;24-month;furniture/equipment
985;25.0;2;rent;little;little;1433;15-month;furniture/equipment
986;33.0;2;own;little;rich;6289;42-month;business
987;64.0;2;own;moderate;little;1409;13-month;radio/TV
988;29.0;3;free;little;little;6579;24-month;car
989;48.0;1;own;little;moderate;1743;24-month;radio/TV
990;37.0;1;own;little;little;3565;12-month;education
991;34.0;1;own;moderate;little;1569;15-month;radio/TV
992;23.0;1;rent;little;little;1936;18-month;radio/TV
993;30.0;3;own;little;little;3959;36-month;furniture/equipment
994;50.0;2;own;little;little;2390;12-month;car
995;31.0;1;own;little;little;1736;12-month;furniture/equipment
996;40.0;3;own;little;little;3857;30-month;car
997;38.0;2;own;little;little;804;12-month;radio/TV
998;23.0;2;free;little;little;1845;45-month;radio/TV
999;27.0;2;own;moderate;moderate;4576;45-month;car
